Iteration	Posterior	Likelihood	Prior	alpha	clock	lambda	mu	pi[1]	pi[2]	pi[3]	pi[4]	r[1]	r[2]	r[3]	r[4]	rates[1]	rates[2]	rates[3]	rates[4]	rates[5]	rates[6]	tmrca
0	-27062.42	-26854.67	-207.7536	0.03267211	4.076863e-05	0.04810777	0.02638019	0.324576	0.290666	0.129267	0.25549	2.08694e-19	6.82664e-10	0.000251169	3.99975	0.00489989	0.536018	0.0310839	0.00805723	0.411096	0.0088448	126.412
5	-27064.53	-26855.52	-209.0139	0.00807312	3.660964e-05	0.06194906	0.05816708	0.326885	0.285622	0.130186	0.257307	1.48875e-75	5.77817e-38	5.62247e-16	4	0.00631892	0.531682	0.0263156	0.0143552	0.407771	0.0135566	132.5103
10	-27065.22	-26853.55	-211.6734	0.07360335	3.407536e-05	0.09001611	0.08060445	0.329914	0.284877	0.131393	0.253817	3.66502e-09	9.01559e-05	0.0334872	3.96642	0.00714777	0.535703	0.0250397	0.0121933	0.410855	0.00906041	143.4609
15	-27063.63	-26850.57	-213.0625	0.002416249	3.432091e-05	0.08538722	0.08060445	0.325627	0.288957	0.127964	0.257452	3.78244e-250	2.91395e-125	3.30008e-52	4	0.00851716	0.56044	0.0268863	0.0109077	0.378809	0.0144402	157.9842
20	-27065.5	-26854.06	-211.4457	0.01217503	3.533992e-05	0.06726981	0.05564605	0.326267	0.282505	0.132845	0.258382	1.98604e-50	2.10968e-25	9.1965e-11	4	0.00862551	0.605551	0.0279459	0.00118393	0.34902	0.00767349	144.9906
25	-27063.76	-26851.94	-211.8168	0.03395416	3.348145e-05	0.06510081	0.04409075	0.326276	0.282513	0.132821	0.25839	1.03561e-18	1.52056e-09	0.000350158	3.99965	0.00825654	0.54103	0.0212224	0.00494677	0.415518	0.0090266	124.3852
30	-27058.6	-26846.18	-212.4199	0.01320854	3.83653e-05	0.05476499	0.04098418	0.327388	0.283735	0.134994	0.253882	1.46957e-46	1.81459e-23	5.84107e-10	4	0.0086255	0.543362	0.0213139	0.00329904	0.417309	0.00608982	136.0528
35	-27068.86	-26855.63	-213.2252	0.01833376	3.474688e-05	0.06368813	0.04645703	0.321567	0.288895	0.132005	0.257532	8.11044e-34	4.261e-17	2.57252e-07	4	0.00860623	0.542148	0.0193221	0.00521572	0.416377	0.00833082	120.8373
40	-27056.99	-26849.42	-207.5614	0.01871048	3.804423e-05	0.05955679	0.05305647	0.32189	0.288182	0.132137	0.257791	3.71706e-33	9.12168e-17	3.52807e-07	4	0.00695798	0.540649	0.0286829	0.00124375	0.408763	0.0137035	133.5118
45	-27061.56	-26853.73	-207.8317	0.02525943	3.89867e-05	0.06934782	0.04799501	0.32189	0.288182	0.132137	0.257791	8.17223e-25	1.35176e-12	1.89801e-05	3.99998	0.00695822	0.565304	0.0299909	0.0023434	0.381075	0.0143285	131.213
50	-27066.5	-26857.65	-208.8473	0.03203849	3.915074e-05	0.05985943	0.05914246	0.323178	0.287635	0.131886	0.257301	9.01821e-20	4.48783e-10	0.000211049	3.99979	0.010607	0.502876	0.0387023	0.0020904	0.437955	0.00776931	115.0907
55	-27061.44	-26852.28	-209.1555	0.01449133	3.628308e-05	0.07748121	0.07238391	0.322824	0.28732	0.132837	0.257019	1.59215e-42	1.88855e-21	4.01523e-09	4	0.00876265	0.548964	0.0262386	0.00579906	0.401022	0.00921292	130.4549
60	-27058.41	-26849.28	-209.1316	0.02251811	4.021363e-05	0.08224441	0.06771109	0.322702	0.287211	0.132787	0.2573	1.02542e-27	4.78943e-14	4.74634e-06	4	0.00868325	0.54399	0.0296465	0.00378535	0.404306	0.0095887	133.0644
65	-27061.57	-26853.85	-207.7187	0.01669159	4.048982e-05	0.05789798	0.05798151	0.322702	0.287211	0.132787	0.2573	4.76857e-37	1.03335e-18	5.49585e-08	4	0.00864505	0.541596	0.0218794	0.00630553	0.402527	0.0190466	142.2517
70	-27063.16	-26854.42	-208.7363	0.04037992	4.163405e-05	0.05856627	0.03389517	0.322195	0.286759	0.134151	0.256895	6.86098e-16	3.91165e-08	0.0013471	3.99865	0.00567203	0.540914	0.0218805	0.0104901	0.40202	0.0190226	124.5391
